Date,Ship,Line,Arrival,Departure,Terminal
5/15/23,Viking Polaris,Viking Expedition Cruises,6:00 AM,5:00 PM,MCT
5/17/23,Marella Discovery,Marella Cruises,7:00 AM,---,MCT
5/18/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
5/18/23,Marella Discovery,Marella Cruises,---,6:00 PM,MCT
5/21/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
5/21/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
5/21/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
5/23/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
5/25/23,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP
5/26/23,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT
5/27/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
5/28/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
5/28/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT
5/28/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
5/31/23,Marella Discovery,Marella Cruises,7:00 AM,---,MCT
5/31/23,Seven Seas Navigator,Regent Seven Seas,6:00 AM,6:00 PM,MCT
5/31/23,Silver Shadow,Silversea Cruises,8:00 AM,---,MCT
6/1/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
6/1/23,Marella Discovery,Marella Cruises,---,6:00 PM,MCT
6/1/23,Silver Shadow,Silversea Cruises,---,1:00 PM,MCT
6/2/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
6/4/23,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP
6/4/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
6/4/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT
6/6/23,Viking Saturn,Viking Ocean Cruises,N/A,---,MCT
6/7/23,Viking Saturn,Viking Ocean Cruises,---,N/A,MCT
6/9/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
6/10/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
6/11/23,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP
6/11/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
6/11/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT
6/13/23,Carnival Venezia,Carnival Cruise Line,4:00 AM,---,MCT
6/14/23,Carnival Venezia,Carnival Cruise Line,---,---,MCT
6/14/23,Marella Discovery,Marella Cruises,7:00 AM,---,MCT
6/15/23,Carnival Venezia,Carnival Cruise Line,---,4:00 PM,MCT
6/15/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
6/15/23,Marella Discovery,Marella Cruises,---,5:30 PM,MCT
6/16/23,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP
6/18/23,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP
6/18/23,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT
6/18/23,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT
6/19/23,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT
6/20/23,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP
